a,b,h1,h2,h3,o,t,delta_h1,delta_h2,delta_h3,delta_o,w_bias_h1,w_a_h1,w_b_h1,w_bias_h2,w_a_h2,w_b_h2,w_bias_h3,w_a_h3,w_b_h3,w_bias_o,w_h1_o,w_h2_o,w_h3_o
   1.61147,   1.53997,   0.50222,   0.46308,   0.52812,   0.77380,   1.00000,   0.02511,   0.02646,  -0.02648,   0.03959,   1.58155,  -0.46161,  -0.51873,   1.32120,  -0.42595,  -0.48778,  -1.36243,   0.43127,   0.48600,   0.13654,   2.54070,   2.69116,  -2.67946
   3.24526,   4.46156,   0.09702,   0.09645,   0.90074,   0.14543,   0.00000,  -0.00402,  -0.00424,   0.00433,  -0.01807,   1.58075,  -0.46422,  -0.52232,   1.32035,  -0.42870,  -0.49156,  -1.36157,   0.43408,   0.48986,   0.13293,   2.54035,   2.69081,  -2.68272
   0.96637,  -1.67675,   0.88163,   0.84945,   0.14636,   0.98615,   1.00000,   0.00005,   0.00007,  -0.00006,   0.00019,   1.58076,  -0.46421,  -0.52233,   1.32037,  -0.42868,  -0.49158,  -1.36158,   0.43407,   0.48989,   0.13297,   2.54039,   2.69085,  -2.68271
  -0.15013,   2.46490,   0.58976,   0.54315,   0.44541,   0.86964,   1.00000,   0.00908,   0.00987,  -0.00979,   0.01478,   1.58258,  -0.46448,  -0.51785,   1.32234,  -0.42898,  -0.48672,  -1.36354,   0.43436,   0.48506,   0.13592,   2.54213,   2.69245,  -2.68140
   2.23623,   2.18831,   0.35679,   0.33136,   0.66134,   0.54036,   1.00000,   0.06660,   0.06810,  -0.06856,   0.11416,   1.59590,  -0.43470,  -0.48871,   1.33596,  -0.39852,  -0.45691,  -1.37725,   0.40370,   0.45505,   0.15876,   2.55027,   2.70002,  -2.66630
  -0.27654,   2.16532,   0.65879,   0.61226,   0.37671,   0.92326,   1.00000,   0.00312,   0.00348,  -0.00340,   0.00544,   1.59652,  -0.43487,  -0.48736,   1.33666,  -0.39871,  -0.45540,  -1.37793,   0.40389,   0.45358,   0.15984,   2.55099,   2.70068,  -2.66589
   0.98504,   3.32812,   0.38845,   0.36084,   0.62936,   0.61004,   0.00000,  -0.08795,  -0.09039,   0.09025,  -0.14512,   1.57893,  -0.45220,  -0.54589,   1.31858,  -0.41652,  -0.51557,  -1.35988,   0.42167,   0.51365,   0.13082,   2.53972,   2.69021,  -2.68416
   1.64515,   0.27310,   0.66506,   0.62070,   0.37147,   0.92362,   1.00000,   0.00305,   0.00341,  -0.00338,   0.00539,   1.57954,  -0.45119,  -0.54573,   1.31926,  -0.41540,  -0.51538,  -1.36056,   0.42055,   0.51346,   0.13190,   2.54043,   2.69088,  -2.68376
   1.14843,   1.23863,   0.59518,   0.55078,   0.43989,   0.87495,   1.00000,   0.00837,   0.00911,  -0.00905,   0.01368,   1.58122,  -0.44927,  -0.54365,   1.32108,  -0.41331,  -0.51313,  -1.36237,   0.41848,   0.51122,   0.13463,   2.54206,   2.69239,  -2.68255
  -0.45733,   1.17982,   0.75865,   0.71192,   0.27876,   0.96202,   1.00000,   0.00065,   0.00077,  -0.00075,   0.00139,   1.58134,  -0.44933,  -0.54350,   1.32124,  -0.41338,  -0.51295,  -1.36252,   0.41855,   0.51104,   0.13491,   2.54227,   2.69258,  -2.68247
   1.22562,   1.72858,   0.52277,   0.48199,   0.50846,   0.80183,   1.00000,   0.01997,   0.02117,  -0.02111,   0.03149,   1.58534,  -0.44443,  -0.53660,   1.32547,  -0.40819,  -0.50563,  -1.36674,   0.41337,   0.50375,   0.14121,   2.54556,   2.69562,  -2.67927
   1.80234,  -1.01133,   0.79034,   0.75047,   0.24395,   0.97132,   1.00000,   0.00034,   0.00040,  -0.00039,   0.00080,   1.58541,  -0.44431,  -0.53666,   1.32555,  -0.40804,  -0.50571,  -1.36682,   0.41323,   0.50383,   0.14137,   2.54569,   2.69574,  -2.67923
   0.90685,   1.59773,   0.58055,   0.53682,   0.45336,   0.86433,   1.00000,   0.00986,   0.01066,  -0.01056,   0.01591,   1.58738,  -0.44252,  -0.53351,   1.32768,  -0.40611,  -0.50230,  -1.36893,   0.41131,   0.50045,   0.14455,   2.54754,   2.69745,  -2.67779
  -2.64618,   8.91116,   0.11964,   0.11167,   0.88103,   0.16677,   0.00000,  -0.00622,  -0.00620,   0.00650,  -0.02317,   1.58614,  -0.43923,  -0.54460,   1.32644,  -0.40283,  -0.51336,  -1.36763,   0.40787,   0.51204,   0.13991,   2.54698,   2.69693,  -2.68187
   5.78549,   1.27581,   0.16113,   0.15989,   0.83826,   0.21984,   0.00000,  -0.01298,  -0.01366,   0.01371,  -0.03770,   1.58354,  -0.45425,  -0.54791,   1.32371,  -0.41863,  -0.51684,  -1.36489,   0.42373,   0.51554,   0.13237,   2.54577,   2.69572,  -2.68820
   2.30130,   7.41529,   0.02862,   0.03011,   0.96872,   0.08967,   0.00000,  -0.00052,  -0.00058,   0.00060,  -0.00732,   1.58344,  -0.45449,  -0.54868,   1.32360,  -0.41890,  -0.51770,  -1.36477,   0.42401,   0.51643,   0.13091,   2.54573,   2.69568,  -2.68961
   1.95293,   1.18674,   0.51118,   0.47281,   0.51903,   0.78765,   1.00000,   0.02259,   0.02387,  -0.02385,   0.03552,   1.58795,  -0.44567,  -0.54331,   1.32837,  -0.40958,  -0.51203,  -1.36954,   0.41469,   0.51077,   0.13801,   2.54936,   2.69904,  -2.68593
   2.16880,   2.24615,   0.35458,   0.32960,   0.66309,   0.53756,   1.00000,   0.06707,   0.06856,  -0.06898,   0.11496,   1.60137,  -0.41657,  -0.51318,   1.34208,  -0.37984,  -0.48123,  -1.38333,   0.38477,   0.47978,   0.16100,   2.55751,   2.70662,  -2.67068
   2.76740,   6.69211,   0.04807,   0.05071,   0.94746,   0.10821,   0.00000,  -0.00122,  -0.00136,   0.00139,  -0.01044,   1.60112,  -0.41725,  -0.51482,   1.34181,  -0.38059,  -0.48305,  -1.38306,   0.38554,   0.48164,   0.15892,   2.55741,   2.70651,  -2.67266
   5.49646,   1.03213,   0.22730,   0.22293,   0.77437,   0.32606,   0.00000,  -0.03218,  -0.03359,   0.03346,  -0.07165,   1.59469,  -0.45263,  -0.52146,   1.33509,  -0.41752,  -0.48999,  -1.37636,   0.42232,   0.48854,   0.14459,   2.55415,   2.70331,  -2.68376
   4.52436,   6.01594,   0.02685,   0.02927,   0.96992,   0.09024,   0.00000,  -0.00049,  -0.00057,   0.00058,  -0.00741,   1.59459,  -0.45308,  -0.52206,   1.33498,  -0.41803,  -0.49067,  -1.37625,   0.42285,   0.48924,   0.14310,   2.55411,   2.70327,  -2.68519
   2.86263,   6.59570,   0.04126,   0.04319,   0.95526,   0.09977,   0.00000,  -0.00091,  -0.00100,   0.00103,  -0.00896,   1.59441,  -0.45359,  -0.52325,   1.33478,  -0.41861,  -0.49199,  -1.37604,   0.42344,   0.49060,   0.14131,   2.55404,   2.70319,  -2.68691
   1.50109,   2.18522,   0.44278,   0.40885,   0.58216,   0.69279,   1.00000,   0.04120,   0.04272,  -0.04273,   0.06538,   1.60265,  -0.44122,  -0.50525,   1.34332,  -0.40578,  -0.47332,  -1.38459,   0.41061,   0.47192,   0.15439,   2.55983,   2.70854,  -2.67929
  -0.07586,   1.58064,   0.69794,   0.65157,   0.33854,   0.94261,   1.00000,   0.00168,   0.00191,  -0.00186,   0.00310,   1.60298,  -0.44125,  -0.50472,   1.34370,  -0.40581,  -0.47272,  -1.38496,   0.41063,   0.47133,   0.15501,   2.56026,   2.70894,  -2.67908
   4.61418,   2.97599,   0.12619,   0.12613,   0.87129,   0.18027,   0.00000,  -0.00752,  -0.00795,   0.00800,  -0.02664,   1.60148,  -0.44819,  -0.50919,   1.34211,  -0.41315,  -0.47745,  -1.38336,   0.41802,   0.47610,   0.14968,   2.55959,   2.70827,  -2.68373
   1.94337,   2.12290,   0.41326,   0.38358,   0.60819,   0.64887,   1.00000,   0.04965,   0.05123,  -0.05116,   0.08000,   1.61141,  -0.42889,  -0.48811,   1.35236,  -0.39324,  -0.45570,  -1.39359,   0.39813,   0.45437,   0.16568,   2.56620,   2.71441,  -2.67399
   4.47381,   6.00174,   0.03780,   0.04141,   0.95749,   0.10108,   0.00000,  -0.00086,  -0.00099,   0.00100,  -0.00919,   1.61124,  -0.42966,  -0.48914,   1.35216,  -0.39413,  -0.45689,  -1.39339,   0.39903,   0.45557,   0.16384,   2.56613,   2.71433,  -2.67575
   1.08420,   0.87781,   0.67173,   0.62803,   0.36335,   0.93214,   1.00000,   0.00243,   0.00272,  -0.00266,   0.00429,   1.61172,  -0.42913,  -0.48871,   1.35270,  -0.39354,  -0.45641,  -1.39393,   0.39845,   0.45511,   0.16470,   2.56671,   2.71487,  -2.67544
   1.36887,  -0.90009,   0.81217,   0.77291,   0.22130,   0.97715,   1.00000,   0.00020,   0.00024,  -0.00024,   0.00051,   1.61176,  -0.42908,  -0.48875,   1.35275,  -0.39347,  -0.45646,  -1.39397,   0.39839,   0.45515,   0.16481,   2.56679,   2.71495,  -2.67542
  -0.50136,   2.77196,   0.61588,   0.57071,   0.41774,   0.89821,   1.00000,   0.00565,   0.00619,  -0.00606,   0.00931,   1.61289,  -0.42964,  -0.48562,   1.35399,  -0.39409,  -0.45303,  -1.39518,   0.39900,   0.45179,   0.16667,   2.56794,   2.71601,  -2.67464
   3.40108,   0.87721,   0.43184,   0.40522,   0.58859,   0.69039,   0.00000,  -0.09298,  -0.09660,   0.09558,  -0.14757,   1.59430,  -0.49289,  -0.50193,   1.33467,  -0.45980,  -0.46997,  -1.37607,   0.46401,   0.46856,   0.13715,   2.55519,   2.70405,  -2.69201
   2.30614,   1.29656,   0.45186,   0.41701,   0.57481,   0.70516,   0.00000,  -0.09279,  -0.09638,   0.09646,  -0.14661,   1.57574,  -0.53569,  -0.52599,   1.31539,  -0.50425,  -0.49497,  -1.35678,   0.50850,   0.49357,   0.10783,   2.54194,   2.69183,  -2.70887
   2.02349,   0.64790,   0.53768,   0.49359,   0.49799,   0.81065,   1.00000,   0.01837,   0.01956,  -0.01968,   0.02906,   1.57941,  -0.52825,  -0.52361,   1.31931,  -0.49634,  -0.49243,  -1.36071,   0.50053,   0.49102,   0.11364,   2.54507,   2.69470,  -2.70597
   3.63630,   2.49025,   0.16173,   0.15293,   0.84319,   0.20681,   0.00000,  -0.01171,  -0.01184,   0.01214,  -0.03392,   1.57707,  -0.53677,  -0.52944,   1.31694,  -0.50495,  -0.49833,  -1.35829,   0.50936,   0.49707,   0.10686,   2.54397,   2.69366,  -2.71169
   0.29437,   0.75957,   0.73437,   0.68778,   0.30348,   0.95279,   1.00000,   0.00105,   0.00123,  -0.00122,   0.00212,   1.57728,  -0.53670,  -0.52928,   1.31718,  -0.50488,  -0.49814,  -1.35853,   0.50929,   0.49688,   0.10728,   2.54428,   2.69395,  -2.71156
   2.32247,   3.42685,   0.18498,   0.17330,   0.82157,   0.23452,   0.00000,  -0.01615,  -0.01625,   0.01674,  -0.04210,   1.57405,  -0.54421,  -0.54035,   1.31393,  -0.51243,  -0.50928,  -1.35518,   0.51706,   0.50835,   0.09886,   2.54273,   2.69249,  -2.71848
   3.46585,   0.65602,   0.33927,   0.31085,   0.68360,   0.48504,   1.00000,   0.07332,   0.07419,  -0.07563,   0.12863,   1.58872,  -0.49339,  -0.53073,   1.32877,  -0.46100,  -0.49955,  -1.37031,   0.46464,   0.49843,   0.12459,   2.55145,   2.70049,  -2.70090
   0.65216,   1.75430,   0.58319,   0.53787,   0.45193,   0.86348,   1.00000,   0.00998,   0.01080,  -0.01077,   0.01609,   1.59071,  -0.49208,  -0.52723,   1.33093,  -0.45959,  -0.49575,  -1.37246,   0.46323,   0.49465,   0.12781,   2.55333,   2.70222,  -2.69944
   3.52310,   2.96681,   0.15354,   0.14691,   0.84904,   0.20179,   0.00000,  -0.01079,  -0.01101,   0.01125,  -0.03250,   1.58856,  -0.49968,  -0.53363,   1.32873,  -0.46735,  -0.50229,  -1.37021,   0.47116,   0.50132,   0.12131,   2.55233,   2.70126,  -2.70496
   1.48120,   1.15703,   0.55749,   0.51383,   0.47695,   0.83782,   1.00000,   0.01388,   0.01487,  -0.01487,   0.02204,   1.59133,  -0.49557,  -0.53042,   1.33170,  -0.46294,  -0.49885,  -1.37319,   0.46675,   0.49788,   0.12571,   2.55479,   2.70353,  -2.70286
   2.50320,   1.25200,   0.42232,   0.38896,   0.60313,   0.65159,   1.00000,   0.04930,   0.05082,  -0.05117,   0.07910,   1.60119,  -0.47089,  -0.51807,   1.34187,  -0.43750,  -0.48612,  -1.38342,   0.44113,   0.48507,   0.14153,   2.56147,   2.70968,  -2.69332
   1.84981,   1.06334,   0.54469,   0.50392,   0.48710,   0.83066,   1.00000,   0.01513,   0.01614,  -0.01603,   0.02382,   1.60422,  -0.46529,  -0.51485,   1.34510,  -0.43153,  -0.48269,  -1.38663,   0.43520,   0.48166,   0.14630,   2.56407,   2.71208,  -2.69100
  -0.07799,   1.48918,   0.70554,   0.65925,   0.33108,   0.94544,   1.00000,   0.00150,   0.00171,  -0.00168,   0.00281,   1.60452,  -0.46532,  -0.51441,   1.34544,  -0.43156,  -0.48218,  -1.38696,   0.43523,   0.48116,   0.14686,   2.56446,   2.71245,  -2.69081
   0.65356,   1.37939,   0.64356,   0.59827,   0.39203,   0.91413,   1.00000,   0.00397,   0.00439,  -0.00432,   0.00674,   1.60531,  -0.46480,  -0.51331,   1.34632,  -0.43098,  -0.48096,  -1.38783,   0.43466,   0.47997,   0.14821,   2.56533,   2.71326,  -2.69028
  -0.81027,   0.57988,   0.84347,   0.80481,   0.18821,   0.98182,   1.00000,   0.00011,   0.00014,  -0.00013,   0.00032,   1.60533,  -0.46482,  -0.51330,   1.34635,  -0.43100,  -0.48095,  -1.38785,   0.43469,   0.47995,   0.14827,   2.56539,   2.71331,  -2.69027
   2.88009,   0.73861,   0.47190,   0.43777,   0.55443,   0.74176,   1.00000,   0.03163,   0.03304,  -0.03288,   0.04947,   1.61166,  -0.44660,  -0.50863,   1.35295,  -0.41197,  -0.47607,  -1.39443,   0.41575,   0.47510,   0.15817,   2.57005,   2.71764,  -2.68479
   5.84073,   1.45904,   0.14945,   0.14831,   0.84903,   0.20847,   0.00000,  -0.01124,  -0.01181,   0.01184,  -0.03440,   1.60941,  -0.45973,  -0.51191,   1.35059,  -0.42577,  -0.47951,  -1.39206,   0.42958,   0.47855,   0.15129,   2.56903,   2.71662,  -2.69063
   2.05062,   1.29124,   0.50142,   0.46464,   0.52667,   0.78324,   1.00000,   0.02363,   0.02487,  -0.02468,   0.03680,   1.61414,  -0.45003,  -0.50580,   1.35556,  -0.41557,  -0.47309,  -1.39700,   0.41945,   0.47218,   0.15865,   2.57272,   2.72004,  -2.68675
   0.81136,  -0.15799,   0.79066,   0.74897,   0.24393,   0.97274,   1.00000,   0.00031,   0.00037,  -0.00036,   0.00072,   1.61420,  -0.44998,  -0.50581,   1.35564,  -0.41551,  -0.47310,  -1.39707,   0.41940,   0.47219,   0.15879,   2.57283,   2.72015,  -2.68672
   0.79901,   1.33194,   0.64128,   0.59712,   0.39340,   0.91498,   1.00000,   0.00391,   0.00433,  -0.00424,   0.00661,   1.61498,  -0.44936,  -0.50477,   1.35650,  -0.41482,  -0.47195,  -1.39792,   0.41872,   0.47106,   0.16011,   2.57368,   2.72094,  -2.68619
   3.41455,   4.29279,   0.11044,   0.11047,   0.88635,   0.16302,   0.00000,  -0.00562,  -0.00595,   0.00602,  -0.02224,   1.61386,  -0.45320,  -0.50960,   1.35531,  -0.41888,  -0.47706,  -1.39671,   0.42283,   0.47623,   0.15567,   2.57319,   2.72045,  -2.69014
  -0.51866,   4.94810,   0.33791,   0.31261,   0.67708,   0.51353,   0.00000,  -0.07385,  -0.07500,   0.07546,  -0.12829,   1.59908,  -0.44554,  -0.58269,   1.34032,  -0.41110,  -0.55127,  -1.38162,   0.41500,   0.55090,   0.13001,   2.56452,   2.71243,  -2.70751
   0.37978,   0.52079,   0.75518,   0.71035,   0.28148,   0.96200,   1.00000,   0.00066,   0.00078,  -0.00076,   0.00139,   1.59922,  -0.44549,  -0.58262,   1.34047,  -0.41104,  -0.55119,  -1.38177,   0.41494,   0.55082,   0.13029,   2.56473,   2.71263,  -2.70743
   1.14644,   2.92798,   0.35037,   0.32199,   0.66968,   0.52229,   0.00000,  -0.07607,  -0.07717,   0.07805,  -0.13031,   1.58400,  -0.46293,  -0.62717,   1.32504,  -0.42874,  -0.59638,  -1.36616,   0.43284,   0.59652,   0.10422,   2.55560,   2.70423,  -2.72489
   0.20178,   0.74256,   0.73592,   0.68905,   0.30240,   0.95366,   1.00000,   0.00102,   0.00119,  -0.00118,   0.00205,   1.58421,  -0.46289,  -0.62701,   1.32527,  -0.42869,  -0.59621,  -1.36640,   0.43279,   0.59635,   0.10463,   2.55590,   2.70452,  -2.72476
   6.32911,   2.87740,   0.04111,   0.04296,   0.95643,   0.09278,   0.00000,  -0.00079,  -0.00087,   0.00089,  -0.00781,   1.58405,  -0.46389,  -0.62747,   1.32510,  -0.42979,  -0.59671,  -1.36622,   0.43391,   0.59686,   0.10307,   2.55583,   2.70445,  -2.72626
   1.05307,   1.10291,   0.59953,   0.55339,   0.43758,   0.87425,   1.00000,   0.00848,   0.00924,  -0.00928,   0.01383,   1.58574,  -0.46210,  -0.62560,   1.32695,  -0.42784,  -0.59467,  -1.36808,   0.43196,   0.59481,   0.10584,   2.55749,   2.70598,  -2.72505
  10.30377,  -1.06220,   0.07508,   0.07945,   0.92063,   0.11963,   0.00000,  -0.00224,  -0.00249,   0.00251,  -0.01260,   1.58530,  -0.46671,  -0.62512,   1.32645,  -0.43298,  -0.59414,  -1.36758,   0.43713,   0.59428,   0.10332,   2.55730,   2.70578,  -2.72737
   2.61215,  -0.29535,   0.63432,   0.59168,   0.40101,   0.90315,   1.00000,   0.00503,   0.00554,  -0.00555,   0.00847,   1.58630,  -0.46408,  -0.62542,   1.32756,  -0.43009,  -0.59447,  -1.36869,   0.43423,   0.59461,   0.10501,   2.55838,   2.70678,  -2.72669
   0.90038,   1.39216,   0.57390,   0.52815,   0.46259,   0.85088,   1.00000,   0.01184,   0.01276,  -0.01283,   0.01892,   1.58867,  -0.46195,  -0.62212,   1.33011,  -0.42779,  -0.59091,  -1.37125,   0.43192,   0.59104,   0.10879,   2.56055,   2.70878,  -2.72494
   0.90675,   0.79517,   0.66265,   0.61594,   0.37528,   0.92066,   1.00000,   0.00332,   0.00371,  -0.00370,   0.00580,   1.58933,  -0.46135,  -0.62159,   1.33085,  -0.42712,  -0.59032,  -1.37199,   0.43125,   0.59045,   0.10995,   2.56132,   2.70949,  -2.72450
  -0.08544,   1.51736,   0.66498,   0.61577,   0.37451,   0.92138,   1.00000,   0.00325,   0.00365,  -0.00363,   0.00570,   1.58998,  -0.46141,  -0.62061,   1.33158,  -0.42718,  -0.58922,  -1.37272,   0.43131,   0.58934,   0.11109,   2.56207,   2.71020,  -2.72407
   1.75366,   3.91749,   0.16106,   0.15113,   0.84454,   0.20306,   0.00000,  -0.01138,  -0.01143,   0.01175,  -0.03286,   1.58771,  -0.46540,  -0.62952,   1.32930,  -0.43119,  -0.59817,  -1.37037,   0.43543,   0.59855,   0.10452,   2.56102,   2.70920,  -2.72962
   5.13873,   3.81089,   0.03906,   0.04047,   0.95884,   0.09087,   0.00000,  -0.00072,  -0.00079,   0.00081,  -0.00751,   1.58756,  -0.46614,  -0.63007,   1.32914,  -0.43200,  -0.59877,  -1.37021,   0.43627,   0.59917,   0.10302,   2.56096,   2.70914,  -2.73106
   1.33133,   2.69822,   0.32452,   0.29700,   0.69578,   0.45971,   1.00000,   0.07533,   0.07591,  -0.07758,   0.13420,   1.60263,  -0.44608,  -0.58942,   1.34432,  -0.41179,  -0.55781,  -1.38572,   0.41561,   0.55731,   0.12986,   2.56967,   2.71711,  -2.71239
   1.07023,   1.44212,   0.56837,   0.52478,   0.46575,   0.85233,   1.00000,   0.01172,   0.01259,  -0.01254,   0.01859,   1.60497,  -0.44357,  -0.58604,   1.34684,  -0.40909,  -0.55417,  -1.38823,   0.41292,   0.55369,   0.13357,   2.57178,   2.71906,  -2.71066
  -1.02472,   2.49837,   0.64460,   0.59424,   0.39459,   0.91194,   1.00000,   0.00417,   0.00464,  -0.00458,   0.00707,   1.60581,  -0.44443,  -0.58396,   1.34777,  -0.41004,  -0.55186,  -1.38915,   0.41386,   0.55140,   0.13499,   2.57269,   2.71990,  -2.71010
   8.39286,   3.49297,   0.01531,   0.01761,   0.98220,   0.08020,   0.00000,  -0.00023,  -0.00028,   0.00028,  -0.00592,   1.60576,  -0.44481,  -0.58412,   1.34771,  -0.41051,  -0.55205,  -1.38909,   0.41433,   0.55160,   0.13381,   2.57267,   2.71988,  -2.71126
   4.71524,   2.70684,   0.11178,   0.11083,   0.88672,   0.15692,   0.00000,  -0.00530,  -0.00556,   0.00565,  -0.02076,   1.60470,  -0.44981,  -0.58699,   1.34660,  -0.41576,  -0.55506,  -1.38796,   0.41967,   0.55466,   0.12965,   2.57221,   2.71942,  -2.71494
   1.52724,   0.60771,   0.63669,   0.59250,   0.39892,   0.90851,   1.00000,   0.00452,   0.00499,  -0.00495,   0.00760,   1.60561,  -0.44843,  -0.58644,   1.34760,  -0.41423,  -0.55446,  -1.38895,   0.41815,   0.55405,   0.13117,   2.57318,   2.72032,  -2.71434
   1.17846,   2.31137,   0.43087,   0.39601,   0.59495,   0.66869,   1.00000,   0.04631,   0.04776,  -0.04801,   0.07340,   1.61487,  -0.43751,  -0.56503,   1.35715,  -0.40297,  -0.53238,  -1.39855,   0.40684,   0.53186,   0.14585,   2.57950,   2.72614,  -2.70560
   6.34423,   1.96308,   0.09364,   0.09582,   0.90261,   0.14265,   0.00000,  -0.00382,  -0.00412,   0.00415,  -0.01745,   1.61411,  -0.44236,  -0.56653,   1.35633,  -0.40820,  -0.53400,  -1.39772,   0.41210,   0.53349,   0.14237,   2.57918,   2.72580,  -2.70875
   1.87765,   1.04886,   0.54719,   0.50744,   0.48391,   0.83563,   1.00000,   0.01443,   0.01538,  -0.01527,   0.02258,   1.61699,  -0.43694,  -0.56350,   1.35940,  -0.40243,  -0.53077,  -1.40078,   0.40637,   0.53028,   0.14688,   2.58165,   2.72809,  -2.70657
   2.21637,   3.09187,   0.25092,   0.23621,   0.75758,   0.35174,   0.00000,  -0.03892,  -0.03948,   0.03987,  -0.08020,   1.60921,  -0.45419,  -0.58757,   1.35151,  -0.41992,  -0.55518,  -1.39280,   0.42404,   0.55494,   0.13084,   2.57762,   2.72431,  -2.71872
   2.18076,  -0.60049,   0.72543,   0.68333,   0.30975,   0.95348,   1.00000,   0.00106,   0.00122,  -0.00120,   0.00206,   1.60942,  -0.45373,  -0.58769,   1.35175,  -0.41939,  -0.55533,  -1.39304,   0.42352,   0.55508,   0.13125,   2.57792,   2.72459,  -2.71859
   4.87531,   5.75086,   0.01830,   0.02010,   0.97945,   0.08095,   0.00000,  -0.00028,  -0.00032,   0.00033,  -0.00602,   1.60936,  -0.45400,  -0.58801,   1.35169,  -0.41971,  -0.55570,  -1.39298,   0.42384,   0.55546,   0.13005,   2.57790,   2.72456,  -2.71977
   1.11166,   1.90196,   0.49657,   0.45716,   0.53361,   0.76931,   1.00000,   0.02638,   0.02768,  -0.02771,   0.04094,   1.61464,  -0.44814,  -0.57798,   1.35722,  -0.41355,  -0.54517,  -1.39852,   0.41768,   0.54492,   0.13824,   2.58196,   2.72831,  -2.71540
   1.97440,   1.61848,   0.44878,   0.41541,   0.57642,   0.70373,   1.00000,   0.03945,   0.04093,  -0.04095,   0.06177,   1.62253,  -0.43256,  -0.56521,   1.36541,  -0.39739,  -0.53192,  -1.40671,   0.40150,   0.53166,   0.15059,   2.58751,   2.73344,  -2.70828
   0.34686,  -0.96339,   0.88257,   0.85069,   0.14435,   0.98749,   1.00000,   0.00004,   0.00005,  -0.00005,   0.00015,   1.62254,  -0.43255,  -0.56521,   1.36542,  -0.39739,  -0.53193,  -1.40672,   0.40150,   0.53167,   0.15062,   2.58754,   2.73347,  -2.70828
   4.09158,   3.75603,   0.09362,   0.09462,   0.90318,   0.14252,   0.00000,  -0.00382,  -0.00408,   0.00412,  -0.01742,   1.62177,  -0.43568,  -0.56809,   1.36460,  -0.40073,  -0.53499,  -1.40590,   0.40488,   0.53477,   0.14714,   2.58721,   2.73314,  -2.71142
   1.67358,   0.60669,   0.63366,   0.59131,   0.40038,   0.91028,   1.00000,   0.00440,   0.00484,  -0.00477,   0.00733,   1.62265,  -0.43421,  -0.56755,   1.36557,  -0.39911,  -0.53441,  -1.40685,   0.40328,   0.53419,   0.14860,   2.58814,   2.73400,  -2.71084
  -0.28002,   2.32571,   0.60451,   0.55835,   0.43109,   0.88806,   1.00000,   0.00689,   0.00750,  -0.00740,   0.01113,   1.62403,  -0.43460,  -0.56435,   1.36707,  -0.39953,  -0.53092,  -1.40833,   0.40369,   0.53075,   0.15083,   2.58948,   2.73525,  -2.70988
   2.33875,   0.32054,   0.60509,   0.56525,   0.42701,   0.89155,   1.00000,   0.00649,   0.00705,  -0.00695,   0.01049,   1.62533,  -0.43156,  -0.56393,   1.36848,  -0.39623,  -0.53047,  -1.40972,   0.40044,   0.53031,   0.15293,   2.59075,   2.73643,  -2.70898
   2.65261,   1.67586,   0.38592,   0.36088,   0.63209,   0.60538,   1.00000,   0.05788,   0.05950,  -0.05939,   0.09427,   1.63691,  -0.40085,  -0.54453,   1.38038,  -0.36466,  -0.51052,  -1.42160,   0.36893,   0.51040,   0.17178,   2.59803,   2.74323,  -2.69706
   0.78509,   1.46977,   0.62758,   0.58510,   0.40570,   0.90996,   1.00000,   0.00448,   0.00491,  -0.00480,   0.00738,   1.63780,  -0.40015,  -0.54322,   1.38136,  -0.36389,  -0.50908,  -1.42256,   0.36818,   0.50899,   0.17326,   2.59896,   2.74410,  -2.69647
   5.68160,   3.84293,   0.06162,   0.06645,   0.93247,   0.11935,   0.00000,  -0.00188,  -0.00214,   0.00213,  -0.01254,   1.63742,  -0.40229,  -0.54467,   1.38094,  -0.36632,  -0.51072,  -1.42213,   0.37060,   0.51063,   0.17075,   2.59880,   2.74393,  -2.69880
   1.32225,   3.68774,   0.28841,   0.27154,   0.72131,   0.43013,   0.00000,  -0.05623,  -0.05723,   0.05720,  -0.10543,   1.62618,  -0.41716,  -0.58614,   1.36949,  -0.38145,  -0.55293,  -1.41069,   0.38573,   0.55281,   0.14966,   2.59272,   2.73821,  -2.71401
   2.03205,  -0.91763,   0.78857,   0.75059,   0.24339,   0.97311,   1.00000,   0.00030,   0.00036,  -0.00035,   0.00070,   1.62624,  -0.41704,  -0.58620,   1.36956,  -0.38131,  -0.55299,  -1.41076,   0.38558,   0.55288,   0.14980,   2.59283,   2.73831,  -2.71398
   0.04037,   0.93127,   0.74336,   0.69829,   0.29311,   0.96060,   1.00000,   0.00074,   0.00086,  -0.00084,   0.00149,   1.62639,  -0.41703,  -0.58606,   1.36973,  -0.38130,  -0.55283,  -1.41093,   0.38558,   0.55272,   0.15010,   2.59305,   2.73852,  -2.71389
  -0.20517,   2.49530,   0.56207,   0.51711,   0.47232,   0.85092,   1.00000,   0.01207,   0.01293,  -0.01279,   0.01891,   1.62880,  -0.41753,  -0.58004,   1.37232,  -0.38183,  -0.54638,  -1.41349,   0.38610,   0.54634,   0.15388,   2.59518,   2.74048,  -2.71211
   2.05613,   0.62247,   0.60091,   0.56147,   0.43057,   0.88937,   1.00000,   0.00677,   0.00735,  -0.00724,   0.01089,   1.63015,  -0.41474,  -0.57919,   1.37379,  -0.37881,  -0.54546,  -1.41494,   0.38313,   0.54544,   0.15606,   2.59649,   2.74170,  -2.71117
